accelerator,signal,filter,chan_in,chan_out,Latency,DSP,LUT,flip-flop,bram,Area-Throughput,Res 0: Itercount,Res 0: Area-Delay,Res 1: Itercount,Res 1: Area-Delay,Res 2: Itercount,Res 2: Area-Delay
nvdla,2,1,2,1,370.04,4,5062,1286,0,1873142.4800000002,134217728,251408927885885.47,6422528,12030310025789.441,18874368,35354380483952.64
nvdla,2,1,2,2,114.84,8,4086,1143,0,469236.24,67108864,31489911014031.36,3211264,1506841445007.36,9437184,4428268736348.16
nvdla,2,1,8,2,114.84,8,3912,1388,0,449254.08,16777216,7537232739041.28,802816,360668363489.28,2359296,1059923353927.68
nvdla,2,1,1,24,247.968,64,31672,8856,0,7853642.495999999,12582912,98821692406628.34,551936,4334708024672.256,1622016,12738733786791.936
nvdla,2,1,8,24,350.407,2,1002,199,0,351107.81399999995,1572864,552244840759.296,68992,24223630303.488,202752,71187811504.12799
nvdla,2,1,24,8,688.8,192,94272,25848,0,64934553.599999994,1572864,102133221713510.39,75264,4887234242150.399,202752,13165610611507.2
nvdla,2,1,2,24,1557.658,64,64133,18189,0,99897280.514,6291456,628499344873488.4,275968,27568452708887.55,811008,81017493675098.11
nvdla,2,1,8,8,247.968,64,31672,8856,0,7853642.495999999,4194304,32940564135542.78,200704,1576257463517.1838,589824,4632266831560.704
nvdla,2,1,8,1,114.84,8,4086,1143,0,469236.24,33554432,15744955507015.68,1605632,753420722503.68,4718592,2214134368174.08
nvdla,2,1,24,2,337.512,24,11898,3447,0,4015717.776,6291456,25264711696121.855,301056,1208955930771.456,811008,3256779242078.208
nvdla,2,1,24,24,337.512,24,11898,3447,0,4015717.776,589824,2368566721511.424,25872,103894650300.672,69696,279879466116.096
nvdla,2,1,1,8,337.512,24,11898,3447,0,4015717.776,33554432,134745129045983.23,1605632,6447764964114.432,4718592,18948533772091.39
nvdla,2,1,24,1,337.512,24,11898,3447,0,4015717.776,12582912,50529423392243.71,602112,2417911861542.912,1622016,6513558484156.416
nvdla,4,1,2,1,370.04,2,2702,653,0,999848.0800000001,33554432,33549334410690.562,1605632,1605388072386.56,4718592,4717875151503.36
nvdla,2,2,1,2,114.08599999999998,2,650,162,0,74155.9,33554432,2488259103948.8,6422528,476268344115.19995,8388608,622064775987.2
nvdla,2,2,8,8,122.23499999999999,2,706,179,0,86297.90999999999,1048576,90489917276.15999,200704,17320335728.64,262144,22622479319.039997
nvdla,2,2,1,8,114.08599999999998,1,376,86,0,42896.335999999996,8388608,359840547340.28796,1605632,68875729764.35199,2097152,89960136835.07199
nvdla,2,2,1,1,122.23499999999999,2,706,179,0,86297.90999999999,67108864,5791354705674.239,12845056,1108501486632.96,16777216,1447838676418.5598
nvdla,2,2,2,8,122.23499999999999,2,706,179,0,86297.90999999999,4194304,361959669104.63995,802816,69281342914.56,1048576,90489917276.15999
nvdla,2,2,2,1,122.23499999999999,2,706,179,0,86297.90999999999,33554432,2895677352837.1196,6422528,554250743316.48,8388608,723919338209.2799
nvdla,2,2,2,2,3137.365,192,58042,21601,0,182098939.32999998,16777216,3055113238510305.0,3211264,584767768308613.1,4194304,763778309627576.2
nvdla,4,1,2,24,3137.365,192,58042,21601,0,182098939.32999998,1572864,286416866110341.1,68992,12563370022255.36,202752,36920924147036.16
nvdla,4,1,2,8,1679.486,48,48959,14140,0,82225955.074,4194304,344880652270698.5,200704,16503078087172.098,589824,48498841725566.98
nvdla,2,2,8,24,138.533,8,2638,941,0,365450.05399999995,393216,143700808433.664,68992,25213130125.567997,90112,32931435266.047997
nvdla,2,2,24,8,3137.365,192,58042,21601,0,182098939.32999998,393216,71604216527585.28,75264,13705494569733.12,90112,16409299620904.959
nvdla,2,2,24,1,247.968,64,31672,8856,0,7853642.495999999,3145728,24705423101657.086,602112,4728772390551.552,720896,5661659460796.416
nvdla,2,2,8,2,268.917,16,4993,1812,0,1342702.5809999998,4194304,5631702806298.623,802816,1077943115268.096,1048576,1407925701574.6558
nvdla,2,2,1,24,1329.384,48,57492,10965,0,76428944.928,3145728,240424672070467.6,551936,42183886147780.61,720896,55097320682815.49
nvdla,2,2,24,2,3137.365,192,58042,21601,0,182098939.32999998,1572864,286416866110341.1,301056,54821978278932.48,360448,65637198483619.836
nvdla,2,2,8,1,440.832,8,9944,3544,0,4383633.408,8388608,36772582275416.06,1605632,7038502076153.855,2097152,9193145568854.016
nvdla,4,1,1,2,370.04,2,2730,901,0,1010209.2000000001,33554432,33896995907174.402,1605632,1622024218214.4001,4718592,4766765049446.4
nvdla,4,1,1,8,3137.365,192,58042,21601,0,182098939.32999998,8388608,1527556619255152.5,401408,73095971038576.64,1179648,214812649582755.8
nvdla,2,2,2,24,350.407,2,1002,199,0,351107.81399999995,1572864,552244840759.296,275968,96894521213.952,360448,126556109340.672
nvdla,4,1,1,1,1329.384,48,57492,10965,0,76428944.928,67108864,5129059670836642.0,3211264,245433519405269.0,9437184,721274016211402.8
nvdla,4,1,8,8,370.04,2,2730,901,0,1010209.2000000001,1048576,1059281122099.2001,50176,50688256819.200005,147456,148961407795.2
nvdla,4,1,1,24,1679.486,48,48959,14140,0,82225955.074,3145728,258660489203023.88,137984,11345866184930.816,405504,33342953686327.297
nvdla,4,1,24,1,3137.365,192,58042,21601,0,182098939.32999998,3145728,572833732220682.2,150528,27410989139466.24,405504,73841848294072.31
nvdla,4,1,8,24,1679.486,48,48959,14140,0,82225955.074,393216,32332561150377.984,17248,1418233273116.352,50688,4167869210790.912
nvdla,4,1,24,2,1329.384,48,57492,10965,0,76428944.928,1572864,120212336035233.8,75264,5752348111060.992,202752,15496121442041.855
nvdla,4,1,8,2,1479.34,1,1204,336,0,1781125.3599999999,4194304,7470581221949.439,200704,357478984253.44,589824,1050550484336.6399
nvdla,4,1,24,8,1679.486,48,48959,14140,0,82225955.074,393216,32332561150377.984,18816,1547163570672.384,50688,4167869210790.912
nvdla,4,1,8,1,1479.34,1,1204,336,0,1781125.3599999999,8388608,14941162443898.879,401408,714957968506.88,1179648,2101100968673.2798
nvdla,4,1,24,24,1572.7569999999998,24,10878,3213,0,17108450.645999998,147456,2522743698456.5757,6468,110657458778.32799,17424,298097644055.904
nvdla,4,2,1,1,5524.1759999999995,2,32968,7469,0,182121034.36799997,16777216,3055483931735359.0,3211264,584838721308721.1,4194304,763870982933839.8
nvdla,4,2,1,2,1479.34,2,2164,714,0,3201291.76,8388608,26854381668270.08,1605632,5140096491192.319,2097152,6713595417067.52
nvdla,4,2,2,24,1557.658,16,16431,4828,0,25593878.597999997,393216,10063922566791.168,68992,1765772872233.2158,90112,2306315588222.976
nvdla,4,2,1,24,1479.34,8,7792,2997,0,11527017.28,786432,9065215253544.959,137984,1590543952363.52,180224,2077445162270.72
nvdla,4,4,2,2,1557.658,4,4097,1212,0,6381724.825999999,4194304,26766893964591.1,802816,5123350797910.016,262144,1672930872786.9438
nvdla,4,2,2,1,1557.658,16,15301,4989,0,23833725.058,8388608,199931776691339.25,1605632,38268191632326.66,2097152,49982944172834.81
nvdla,4,2,8,24,1557.658,4,4097,1212,0,6381724.825999999,98304,627349077295.104,17248,110071989798.84799,22528,143767496880.128
nvdla,4,2,2,2,1557.658,64,64133,18189,0,99897280.514,4194304,418999563248992.25,802816,80199135153127.42,1048576,104749890812248.06
nvdla,4,2,8,2,1770.216,16,63522,9781,0,112447660.75199999,1048576,117909918320689.14,200704,22568695303569.406,262144,29477479580172.285
nvdla,4,2,24,8,529.685,8,3710,1021,0,1965131.3499999999,98304,193180272230.4,18816,36975911481.6,22528,44270479052.799995
nvdla,4,2,2,8,1557.658,16,16431,4828,0,25593878.597999997,1048576,26837126844776.445,200704,5136793810132.991,262144,6709281711194.111
nvdla,4,2,8,8,688.8,192,94272,25848,0,64934553.599999994,262144,17022203618918.398,50176,3258156161433.5996,65536,4255550904729.5996
nvdla,4,4,1,2,8240.794,24,83273,13093,0,686235638.762,8388608,5756561769204023.0,1605632,1101841901136707.6,524288,359785110575251.44
nvdla,4,4,1,1,350.407,2,1002,199,0,351107.81399999995,16777216,5890611634765.823,3211264,1127499883216.896,1048576,368163227172.86395
nvdla,4,4,2,1,350.407,2,1002,199,0,351107.81399999995,8388608,2945305817382.9116,1605632,563749941608.448,524288,184081613586.43198
nvdla,4,4,2,8,1763.328,8,33457,11960,0,58995664.896,1048576,61861438313988.09,200704,11840665927286.783,65536,3866339894624.256
nvdla,4,4,1,24,1572.7569999999998,24,10878,3213,0,17108450.645999998,786432,13454633058435.07,137984,2360692453937.6636,45056,770838352306.1759
nvdla,4,4,8,2,1051.2209999999998,16,6314,1873,0,6637409.393999998,1048576,6959828192722.942,200704,1332154615013.3757,65536,434989262045.1839
nvdla,4,4,8,1,1051.2209999999998,16,6314,1873,0,6637409.393999998,2097152,13919656385445.885,401408,2664309230026.7515,131072,869978524090.3678
nvdla,4,4,24,24,1763.328,8,33457,11960,0,58995664.896,36864,2174816190726.144,6468,381583960547.328,1936,114215607238.656
nvdla,4,2,8,1,1189.754,2,1732,238,0,2060653.9279999998,2097152,4321504506413.0557,401408,827162971930.6239,524288,1080376126603.2639
nvdla,4,4,24,2,114.08599999999998,2,650,162,0,74155.9,393216,29159286374.399998,75264,5581269657.599999,22528,1670584115.1999998
nvdla,4,4,2,24,114.08599999999998,2,650,162,0,74155.9,393216,29159286374.399998,68992,5116163852.799999,22528,1670584115.1999998
nvdla,4,4,24,8,1763.328,8,33457,11960,0,58995664.896,98304,5799509841936.384,18816,1110062430683.136,5632,332263584694.272
nvdla,8,1,1,1,1446.48,2,8870,3089,0,12830277.6,16777216,215256338635161.6,1048576,13453521164697.6,2359296,30270422620569.6
nvdla,8,1,1,8,1446.48,2,8870,3089,0,12830277.6,2097152,26907042329395.2,131072,1681690145587.2,294912,3783802827571.2
nvdla,8,1,2,24,1770.216,16,63522,9781,0,112447660.75199999,393216,44216219370258.43,22528,2533220901421.0557,50688,5699747028197.376
nvdla,8,1,2,8,1770.216,16,63522,9781,0,112447660.75199999,1048576,117909918320689.14,65536,7369369895043.071,147456,16581082263846.91
nvdla,8,1,8,2,1770.216,16,63522,9781,0,112447660.75199999,1048576,117909918320689.14,65536,7369369895043.071,147456,16581082263846.91
nvdla,8,2,8,2,114.08599999999998,2,650,162,0,74155.9,262144,19439524249.6,65536,4859881062.4,65536,4859881062.4
nvdla,4,1,2,2,370.04,2,2730,901,0,1010209.2000000001,16777216,16948497953587.201,802816,811012109107.2001,2359296,2383382524723.2
nvdla,8,1,2,2,1557.658,2,2259,583,0,3518749.422,4194304,14758704775692.287,262144,922419048480.768,589824,2075442859081.7278
nvdla,4,2,24,2,342.258,2,888,182,0,303925.104,393216,119508213694.46399,75264,22874619027.455997,90112,27387298971.648
nvdla,8,1,8,1,1770.216,16,63522,9781,0,112447660.75199999,2097152,235819836641378.28,131072,14738739790086.143,294912,33162164527693.82
nvdla,8,1,8,24,1051.2209999999998,16,6314,1873,0,6637409.393999998,98304,652483893067.7759,5632,37381889707.007996,12672,84109251840.76797
nvdla,8,1,24,1,1763.328,8,33457,11960,0,58995664.896,786432,46396078735491.07,49152,2899754920968.192,101376,5980744524496.8955
nvdla,8,1,24,8,529.685,8,3141,905,0,1663740.5849999997,98304,163552354467.84,6144,10222022154.24,12672,21082920693.12
nvdla,8,1,24,24,7814.396,1,4071,1312,0,31812406.116,36864,1172732539060.2239,2112,67187801716.992,4356,138574841041.296
nvdla,8,2,1,1,7814.396,2,7355,2554,0,57474882.58,4194304,241067129904824.3,1048576,60266782476206.08,1048576,60266782476206.08
nvdla,8,2,1,8,7814.396,2,7355,2554,0,57474882.58,524288,30133391238103.04,131072,7533347809525.76,131072,7533347809525.76
nvdla,8,2,2,1,8240.794,4,14088,3460,0,116096305.872,2097152,243471600052076.53,524288,60867900013019.13,524288,60867900013019.13
nvdla,8,2,2,2,8240.794,4,14088,3460,0,116096305.872,1048576,121735800026038.27,262144,30433950006509.566,262144,30433950006509.566
nvdla,8,2,2,8,12722.324,8,17367,7289,0,220948600.90800002,262144,57920350036426.76,65536,14480087509106.69,65536,14480087509106.69
nvdla,8,2,8,1,12722.324,8,17367,7289,0,220948600.90800002,524288,115840700072853.52,131072,28960175018213.38,131072,28960175018213.38
nvdla,8,4,1,8,12722.324,8,17367,7289,0,220948600.90800002,524288,115840700072853.52,131072,28960175018213.38,32768,7240043754553.345
nvdla,8,2,8,24,1479.34,8,7792,2997,0,11527017.28,24576,283287976673.27997,5632,64920161320.96,5632,64920161320.96
nvdla,8,8,1,8,5524.1759999999995,2,32968,7469,0,182121034.36799997,524288,95483872866729.97,131072,23870968216682.492,32768,5967742054170.623
nvdla,16,1,1,24,41395.414,2,30417,6787,0,1259124307.638,196608,247553911876091.88,11264,14182776201234.432,101376,127644985811109.88
nvdla,8,4,2,8,5524.1759999999995,2,32968,7469,0,182121034.36799997,262144,47741936433364.984,65536,11935484108341.246,16384,2983871027085.3115
nvdla,8,4,2,24,12939.874,24,54815,14369,0,709299193.31,98304,69726947899146.24,22528,15979092226887.68,5632,3994773056721.92
nvdla,8,4,24,2,5524.1759999999995,2,32968,7469,0,182121034.36799997,98304,17903226162511.87,24576,4475806540627.968,5632,1025705665560.5759
nvdla,16,1,2,1,2094.2929999999997,8,8158,1245,0,17085242.293999996,2097152,35830350047346.68,131072,2239396877959.1675,1179648,20154571901632.508
nvdla,8,4,1,1,12722.324,1,2670,771,0,33968605.08,4194304,142474656161464.3,1048576,35618664040366.08,262144,8904666010091.52
nvdla,8,4,1,2,9702.73,2,3328,845,0,32290685.439999998,2097152,67718475551866.875,524288,16929618887966.719,131072,4232404721991.6797
nvdla,8,6,2,1,6266.580999999999,24,17798,3885,0,111532608.63799998,2097152,233900833270398.94,524288,58475208317599.734,131072,14618802079399.934
nvdla,8,6,1,24,9702.73,4,5794,1902,0,56217617.62,196608,11052833365032.959,45056,2532940979486.7197,11264,633235244871.6799
nvdla,8,6,1,8,12939.874,8,19759,4865,0,255678970.366,524288,134049416015249.4,131072,33512354003812.35,32768,8378088500953.088
nvdla,8,6,2,8,12939.874,8,19759,4865,0,255678970.366,262144,67024708007624.7,65536,16756177001906.176,16384,4189044250476.544
nvdla,8,6,2,2,6266.580999999999,24,17798,3885,0,111532608.63799998,1048576,116950416635199.47,262144,29237604158799.867,65536,7309401039699.967
nvdla,8,6,1,1,9702.73,8,13225,3929,0,128318604.25,4194304,538207235080192.0,1048576,134551808770048.0,262144,33637952192512.0
nvdla,8,4,8,1,2094.2929999999997,8,6037,1129,0,12643246.840999998,524288,6628702599774.207,131072,1657175649943.5518,32768,414293912485.88794
nvdla,8,8,1,1,1189.754,1,1182,154,0,1406289.228,4194304,5898404534157.312,1048576,1474601133539.328,262144,368650283384.832
nvdla,8,6,24,2,9702.73,8,13225,3929,0,128318604.25,98304,12614232072192.0,24576,3153558018048.0,5632,722690379136.0
nvdla,8,8,1,24,9702.73,8,13225,3929,0,128318604.25,196608,25228464144384.0,45056,5781523033088.0,11264,1445380758272.0
nvdla,8,6,8,1,9702.73,8,13225,3929,0,128318604.25,524288,67275904385024.0,131072,16818976096256.0,32768,4204744024064.0
nvdla,8,6,8,2,12939.874,24,54815,14369,0,709299193.31,262144,185938527731056.62,65536,46484631932764.16,16384,11621157983191.04
nvdla,8,6,24,1,12939.874,24,54815,14369,0,709299193.31,196608,139453895798292.48,49152,34863473949573.12,11264,7989546113443.84
nvdla,8,4,24,1,2094.2929999999997,8,6037,1129,0,12643246.840999998,196608,2485763474915.3276,49152,621440868728.8319,11264,142413532417.024
nvdla,8,8,2,2,1197.9029999999998,2,2054,255,0,2460492.7619999996,1048576,2580013658406.9116,262144,645003414601.7279,65536,161250853650.43198
nvdla,8,6,8,8,4180.437,16,13457,2420,0,56256140.709,65536,3686802437505.024,16384,921700609376.256,4096,230425152344.064
nvdla,8,8,8,2,4180.437,16,13457,2420,0,56256140.709,262144,14747209750020.096,65536,3686802437505.024,16384,921700609376.256
nvdla,8,8,8,8,6266.580999999999,24,17798,3885,0,111532608.63799998,65536,7309401039699.967,16384,1827350259924.9917,4096,456837564981.2479
nvdla,8,8,24,1,5524.1759999999995,2,32968,7469,0,182121034.36799997,196608,35806452325023.74,49152,8951613081255.936,11264,2051411331121.1519
nvdla,8,6,8,24,6266.580999999999,24,17798,3885,0,111532608.63799998,24576,2741025389887.488,5632,628151651849.216,1408,157037912962.304
nvdla,8,8,2,8,5524.1759999999995,2,33639,11677,0,185827756.464,262144,48713631390498.81,65536,12178407847624.703,16384,3044601961906.176
nvdla,16,1,1,2,5524.1759999999995,1,18042,6065,0,99667183.39199999,2097152,209017232984899.56,131072,13063577061556.223,1179648,117572193554006.0
nvdla,16,1,24,1,39437.464,2,30134,10482,0,1188408540.1759999,196608,233650626266923.0,12288,14603164141682.688,101376,120476104168882.17
nvdla,16,2,2,8,39437.464,2,30134,10482,0,1188408540.1759999,65536,77883542088974.33,16384,19470885522243.582,65536,77883542088974.33
nvdla,16,2,1,8,39437.464,2,30134,10482,0,1188408540.1759999,131072,155767084177948.66,32768,38941771044487.164,131072,155767084177948.66
nvdla,16,2,8,2,39437.464,2,30134,10482,0,1188408540.1759999,65536,77883542088974.33,16384,19470885522243.582,65536,77883542088974.33
nvdla,16,2,1,2,39437.464,2,30134,10482,0,1188408540.1759999,524288,623068336711794.6,131072,155767084177948.66,524288,623068336711794.6
nvdla,16,2,2,1,154125.888,1,8265,2237,1,1273850464.32,524288,667864512237404.1,131072,166966128059351.03,524288,667864512237404.1
nvdla,16,2,1,24,88481.936,2,23991,8244,0,2122770126.576,49152,104338397261463.55,11264,23910882705752.062,45056,95643530823008.25
nvdla,16,2,8,1,130773.656,2,18801,6472,0,2458675506.456,131072,322263515982200.8,32768,80565878995550.2,131072,322263515982200.8
nvdla,16,2,24,8,88481.936,2,23991,8244,0,2122770126.576,6144,13042299657682.943,1536,3260574914420.736,5632,11955441352876.031
nvdla,16,2,24,24,88481.936,1,13199,4205,0,1167873073.264,2304,2690779560800.256,528,616636982683.392,1936,2261002269839.104
nvdla,16,4,1,1,88481.936,2,23991,8244,0,2122770126.576,1048576,2225885808244555.8,262144,556471452061138.94,262144,556471452061138.94
nvdla,16,4,1,2,88481.936,2,23991,8244,0,2122770126.576,524288,1112942904122277.9,131072,278235726030569.47,131072,278235726030569.47
nvdla,16,8,2,1,154683.816,2,15464,3821,2,2392030530.624,524288,1254112902839795.8,131072,313528225709948.94,131072,313528225709948.94
nvdla,16,4,2,8,154125.888,2,14629,5140,2,2254707615.552,65536,147764518292815.88,16384,36941129573203.97,16384,36941129573203.97
nvdla,16,8,1,1,154125.888,1,8265,2237,1,1273850464.32,1048576,1335729024474808.2,262144,333932256118702.06,262144,333932256118702.06
nvdla,16,6,2,2,130773.656,1,10469,3143,0,1369069404.664,262144,358893330016239.6,65536,89723332504059.9,65536,89723332504059.9
nvdla,16,6,2,8,130773.656,1,10469,3143,0,1369069404.664,65536,89723332504059.9,16384,22430833126014.977,16384,22430833126014.977
nvdla,16,6,8,1,130773.656,1,10469,3143,0,1369069404.664,131072,179446665008119.8,32768,44861666252029.95,32768,44861666252029.95
nvdla,16,6,1,8,154125.888,2,14629,5140,2,2254707615.552,131072,295529036585631.75,32768,73882259146407.94,32768,73882259146407.94
nvdla,16,4,24,8,154125.888,2,14629,5140,2,2254707615.552,6144,13852923589951.488,1536,3463230897487.872,1408,3174628322697.2163
nvdla,16,6,8,24,41395.414,2,30417,6787,0,1259124307.638,6144,7736059746127.871,1408,1772847025154.304,1408,1772847025154.304
nvdla,16,6,2,1,131826.598,2,19453,4493,0,2564422810.894,524288,1344496106677993.5,131072,336124026669498.4,131072,336124026669498.4
nvdla,16,8,2,2,154125.888,2,14629,5140,2,2254707615.552,262144,591058073171263.5,65536,147764518292815.88,65536,147764518292815.88
nvdla,16,8,1,8,154125.888,2,14629,5140,2,2254707615.552,131072,295529036585631.75,32768,73882259146407.94,32768,73882259146407.94
nvdla,16,8,8,24,154125.888,2,14629,5140,2,2254707615.552,6144,13852923589951.488,1408,3174628322697.2163,1408,3174628322697.2163
nvdla,16,8,24,1,41395.414,2,30417,6787,0,1259124307.638,49152,61888477969022.97,12288,15472119492255.742,11264,14182776201234.432
nvdla,16,8,2,24,41395.414,2,30417,6787,0,1259124307.638,24576,30944238984511.484,5632,7091388100617.216,5632,7091388100617.216
nvdla,16,8,24,8,154125.888,1,8265,2237,1,1273850464.32,6144,7826537252782.08,1536,1956634313195.52,1408,1793581453762.56
nvdla,16,8,24,24,154125.888,1,8265,2237,1,1273850464.32,2304,2934951469793.2803,528,672593045160.9601,484,616543624730.88
nvdla,4,4,1,8,529.685,8,3141,905,0,1663740.5849999997,2097152,3489116895313.9194,401408,667838780743.6799,131072,218069805957.11996
nvdla,16,6,24,24,39437.464,1,16386,5436,0,646222285.104,2304,1488896144879.616,528,341205366534.912,484,312771585990.336
nvdla,16,16,1,1,4449.353999999999,1,3826,350,0,17023228.404,1048576,17850148746952.703,262144,4462537186738.176,262144,4462537186738.176
nvdla,16,16,1,24,4457.503,2,6462,455,0,28804384.385999996,49152,1415793101340.6719,11264,324452585723.904,11264,324452585723.904
